erp_id,province_code,lat,long,sales
1401,QC,45.5360244,-73.5139573,0.069430531
1405,QC,45.4916113,-73.4581679,1.553979664
1408,QC,45.5441377,-73.5912709,-0.624138938
1411,QC,46.8090408,-71.2591043,0.019269829
1415,QC,45.5191993,-73.4877097,-0.37952357
1417,QC,45.4619149,-73.5974617,5.290502465
1467,QC,45.564945,-73.58282,0.294321044
1471,QC,46.8743947,-71.3305868,1.124051419
1474,QC,46.8642674,-71.1852277,0.040202099
1495,QC,48.233219,-78.992606,1.719265444
1497,QC,45.4915042,-73.5816539,-1.028624776
1509,QC,46.8914079,-71.1499358,1.393819452
1518,QC,45.4779216,-73.4757013,0.985844926
1519,QC,45.4935112,-73.6360684,0.636839717
1524,QC,45.4878175,-73.3993508,-1.315294481
1535,QC,45.462759,-73.424696,-0.236528778
1537,QC,45.5463486,-73.5793948,-0.590161582
1549,QC,46.826494,-71.2386097,0.739675108
1552,QC,45.561738,-73.580948,0.489038682
1553,QC,46.816255,-71.2519289,-0.709857635
1557,QC,45.5546445,-73.6534368,-0.712032257
1561,QC,45.5679359,-73.4509876,-0.21635308
5476,QC,45.5679026,-73.4510315,1.191877261
1564,QC,46.8029984,-71.2248597,0.554212172
1566,QC,45.5374158,-73.583371,-0.481191082
1571,QC,45.5586091,-73.6375514,-0.65210897
1574,QC,47.9127764,-79.2480642,-0.112062641
1577,QC,45.544746,-73.599578,1.472588123
1578,QC,45.4836895,-73.5743372,0.052480983
1596,QC,45.5270442,-73.7130206,-0.149227335
1598,QC,46.75267,-71.43041,1.452293087
1606,QC,46.8234838,-71.2266992,1.038707494
1608,QC,45.5350677,-73.60373,0.194281306
1630,QC,45.456151,-73.598789,3.273928785
1639,QC,45.5286103,-73.4891109,-0.024965153
1641,QC,45.4846111,-73.4406987,0.233780858
1644,QC,46.5562331,-72.7446933,-0.582257379
1657,QC,45.525432,-73.552484,-0.230518564
1660,QC,45.5278229,-73.5790809,1.026888967
1792,QC,45.5274405,-73.579291,-0.059426909
1662,QC,45.56668,-73.575664,-0.008399257
1667,QC,45.5133295,-73.4916039,-0.81777918
1672,QC,46.8313072,-71.2314313,-1.51462055
